CUPS;Fecha;Hora;Consumo_KWh;Metodo_obtencion
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;1;0.462;R
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;2;0.213;R
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;3;0.353;R
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;4;0.119;R
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;5;0.263;R
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;6;0.313;R
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;7;0.461;R
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;8;0.056;R
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;9;0.149;R
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;10;0.116;R
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;11;0.267;R
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;12;0.317;R
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;13;0.108;R
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;14;0.087;R
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;15;0.374;R
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;16;0.218;R
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;17;0.221;R
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;18;0.096;R
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;19;0.395;R
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;20;0.06;R
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;21;0.421;R
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;22;0.119;R
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;23;0.159;R
ESXXXXXXXXXXXXXXXXXXXX;01/01/2023;24;0.478;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;1;0.261;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;2;0.431;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;3;0.429;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;4;0.217;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;5;0.375;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;6;0.42;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;7;0.058;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;8;0.366;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;9;0.283;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;10;0.219;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;11;0.141;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;12;0.32;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;13;0.051;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;14;0.02;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;15;0.301;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;16;0.443;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;17;0.087;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;18;0.224;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;19;0.368;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;20;0.111;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;21;0.303;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;22;0.401;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;23;0.114;R
ESXXXXXXXXXXXXXXXXXXXX;02/01/2023;24;0.082;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;1;0.409;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;2;0.194;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;3;0.298;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;4;0.062;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;5;0.051;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;6;0.482;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;7;0.241;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;8;0.39;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;9;0.418;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;10;0.275;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;11;0.161;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;12;0.234;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;13;0.377;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;14;0.369;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;15;0.347;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;16;0.457;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;17;0.336;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;18;0.353;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;19;0.138;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;20;0.292;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;21;0.186;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;22;0.335;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;23;0.272;R
ESXXXXXXXXXXXXXXXXXXXX;03/01/2023;24;0.081;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;1;0.041;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;2;0.328;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;3;0.442;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;4;0.445;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;5;0.083;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;6;0.132;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;7;0.199;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;8;0.217;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;9;0.244;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;10;0.421;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;11;0.284;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;12;0.049;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;13;0.272;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;14;0.38;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;15;0.397;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;16;0.104;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;17;0.286;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;18;0.245;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;19;0.142;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;20;0.415;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;21;0.333;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;22;0.03;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;23;0.085;R
ESXXXXXXXXXXXXXXXXXXXX;04/01/2023;24;0.311;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;1;0.074;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;2;0.209;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;3;0.462;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;4;0.415;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;5;0.056;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;6;0.227;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;7;0.362;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;8;0.027;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;9;0.419;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;10;0.441;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;11;0.411;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;12;0.218;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;13;0.352;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;14;0.264;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;15;0.37;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;16;0.436;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;17;0.23;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;18;0.45;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;19;0.075;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;20;0.129;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;21;0.306;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;22;0.418;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;23;0.105;R
ESXXXXXXXXXXXXXXXXXXXX;05/01/2023;24;0.14;R
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;1;0.378;R
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;2;0.355;R
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;3;0.122;R
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;4;0.17;R
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;5;0.458;R
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;6;0.29;R
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;7;0.19;R
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;8;0.392;R
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;9;0.126;R
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;10;0.291;R
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;11;0.287;R
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;12;0.093;R
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;13;0.127;R
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;14;0.46;R
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;15;0.105;R
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;16;0.101;R
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;17;0.454;R
ESXXXXXXXXXXXXXXXXXXXX;06/01/2023;18;0.144;R
